Iteration 00218    Loss 0.005313   PSNR_LR 22.746   PSNR_HR 20.038
Iteration 00219    Loss 0.005310   PSNR_LR 22.749   PSNR_HR 20.042
Iteration 00220    Loss 0.005285   PSNR_LR 22.770   PSNR_HR 20.009
Iteration 00221    Loss 0.005261   PSNR_LR 22.789   PSNR_HR 20.011
Iteration 00222    Loss 0.005307   PSNR_LR 22.752   PSNR_HR 20.015
Iteration 00223    Loss 0.005164   PSNR_LR 22.870   PSNR_HR 20.107
Iteration 00224    Loss 0.005078   PSNR_LR 22.943   PSNR_HR 20.129
Iteration 00225    Loss 0.004998   PSNR_LR 23.012   PSNR_HR 20.175
Iteration 00226    Loss 0.005151   PSNR_LR 22.881   PSNR_HR 20.078
Iteration 00227    Loss 0.005024   PSNR_LR 22.989   PSNR_HR 20.159
Iteration 00228    Loss 0.005084   PSNR_LR 22.938   PSNR_HR 20.136
Iteration 00229    Loss 0.005000   PSNR_LR 23.010   PSNR_HR 20.191
Iteration 00230    Loss 0.004895   PSNR_LR 23.102   PSNR_HR 20.230
Iteration 00231    Loss 0.004878   PSNR_LR 23.117   PSNR_HR 20.223
Iteration 00232    Loss 0.004997   PSNR_LR 23.013   PSNR_HR 20.151
Iteration 00233    Loss 0.004828   PSNR_LR 23.163   PSNR_HR 20.280
Iteration 00234    Loss 0.004955   PSNR_LR 23.049   PSNR_HR 20.224
Iteration 00235    Loss 0.004797   PSNR_LR 23.190   PSNR_HR 20.300
Iteration 00236    Loss 0.004785   PSNR_LR 23.202   PSNR_HR 20.321
Iteration 00237    Loss 0.004658   PSNR_LR 23.318   PSNR_HR 20.374
Iteration 00238    Loss 0.004732   PSNR_LR 23.250   PSNR_HR 20.338
Iteration 00239    Loss 0.004597   PSNR_LR 23.375   PSNR_HR 20.427
Iteration 00240    Loss 0.004827   PSNR_LR 23.164   PSNR_HR 20.276
Iteration 00241    Loss 0.004729   PSNR_LR 23.253   PSNR_HR 20.310
Iteration 00242    Loss 0.004604   PSNR_LR 23.369   PSNR_HR 20.410
Iteration 00243    Loss 0.004633   PSNR_LR 23.342   PSNR_HR 20.392
Iteration 00244    Loss 0.004648   PSNR_LR 23.328   PSNR_HR 20.395
Iteration 00245    Loss 0.004544   PSNR_LR 23.426   PSNR_HR 20.430
Iteration 00246    Loss 0.004614   PSNR_LR 23.359   PSNR_HR 20.399
Iteration 00247    Loss 0.004541   PSNR_LR 23.429   PSNR_HR 20.419
Iteration 00248    Loss 0.004589   PSNR_LR 23.383   PSNR_HR 20.426
Iteration 00249    Loss 0.004611   PSNR_LR 23.362   PSNR_HR 20.370
Iteration 00250    Loss 0.004528   PSNR_LR 23.441   PSNR_HR 20.421
Iteration 00251    Loss 0.004559   PSNR_LR 23.412   PSNR_HR 20.457
Iteration 00252    Loss 0.004621   PSNR_LR 23.352   PSNR_HR 20.427
Iteration 00253    Loss 0.004488   PSNR_LR 23.480   PSNR_HR 20.486
Iteration 00254    Loss 0.004609   PSNR_LR 23.364   PSNR_HR 20.391
Iteration 00255    Loss 0.004544   PSNR_LR 23.425   PSNR_HR 20.439
Iteration 00256    Loss 0.004504   PSNR_LR 23.464   PSNR_HR 20.476
Iteration 00257    Loss 0.004532   PSNR_LR 23.437   PSNR_HR 20.450
Iteration 00258    Loss 0.004330   PSNR_LR 23.635   PSNR_HR 20.530
Iteration 00259    Loss 0.004486   PSNR_LR 23.482   PSNR_HR 20.429
